kegg_pathway_id	kegg_ko_id	
00190	K11352	"174,403"
00190	K11353	"174,403"
00190	K03957	"174,403"
00190	K03958	"174,403"
00190	K03959	"174,403"
00190	K03960	"174,403"
00190	K03961	"174,403"
00190	K03962	"174,403"
00190	K03963	"174,403"
00190	K03964	"174,403"
00190	K03965	"174,403"
00190	K03966	"174,403"
00190	K11351	"174,403"
00190	K03967	"174,403"
00190	K03968	"174,403"
00190	K13378	"174,403"
00190	K13380	"174,403"
00190	K15863	"174,403"
00190	K00410	"631,339"
00190	K00411	"631,339"
00190	K00412	"631,339"
00190	K00413	"631,339"
00190	K00414	"631,339"
00190	K00415	"631,339"
00190	K00416	"631,339"
00190	K00417	"631,339"
00190	K00418	"631,339"
00190	K00419	"631,339"
00190	K00420	"631,339"
00190	K00404	"845,307"
00190	K00405	"845,307"
00190	K15862	"845,307"
00190	K00406	"845,307"
00190	K00407	"845,307"
00190	K02256	"845,307"
00190	K02261	"845,307"
00190	K02262	"845,307"
00190	K02263	"845,307"
00190	K02264	"845,307"
00190	K02265	"845,307"
00190	K02266	"845,307"
00190	K02267	"845,307"
00190	K02268	"845,307"
00190	K02269	"845,307"
00190	K02270	"845,307"
00190	K02271	"845,307"
00190	K02272	"845,307"
00190	K02273	"845,307"
00190	K02274	"845,307"
00190	K02275	"845,307"
00190	K02276	"845,307"
00190	K02277	"845,307"
00190	K15408	"845,307"
00190	K02108	"1021,400"
00190	K02109	"1021,400"
00190	K02110	"1021,400"
00190	K02111	"1021,400"
00190	K02112	"1021,400"
00190	K02113	"1021,400"
00190	K02114	"1021,400"
00190	K02115	"1021,400"
00190	K02117	"1021,400"
00190	K02118	"1021,400"
00190	K02119	"1021,400"
00190	K02120	"1021,400"
00190	K02121	"1021,400"
00190	K02122	"1021,400"
00190	K02107	"1021,400"
00190	K02123	"1021,400"
00190	K02124	"1021,400"
00190	K02125	"1021,400"
00190	K02126	"1021,400"
00190	K02127	"1021,400"
00190	K02128	"1021,400"
00190	K02129	"1021,400"
00190	K02130	"1021,400"
00190	K02131	"1021,400"
00190	K02132	"1021,400"
00190	K02133	"1021,400"
00190	K02134	"1021,400"
00190	K02135	"1021,400"
00190	K02136	"1021,400"
00190	K02137	"1021,400"
00190	K02138	"1021,400"
00190	K02139	"1021,400"
00190	K02140	"1021,400"
00190	K02141	"1021,400"
00190	K02142	"1021,400"
00190	K02143	"1021,400"
00190	K02144	"1021,400"
00190	K02145	"1021,400"
00190	K02146	"1021,400"
00190	K02147	"1021,400"
00190	K02148	"1021,400"
00190	K02149	"1021,400"
00190	K02150	"1021,400"
00190	K02151	"1021,400"
00190	K02152	"1021,400"
00190	K02153	"1021,400"
00190	K02154	"1021,400"
00190	K02155	"1021,400"
00190	K03661	"1021,400"
00190	K03662	"1021,400"
00190	K01541	"1069,400"
00190	K01542	"1069,400"
00190	K01543	"1069,400"
00190	K01544	"1069,400"
00190	K01535	"1044,421"
00190	K01507	"931,446"
00190	K15986	"931,446"
00190	K15987	"931,446"
00190	K11725	"931,446"
00190	K11726	"931,446"
00190	K06019	"931,446"
00190	K00937	"841,446"
00190	K00236	"68,661"
00190	K00237	"113,661"
00190	K00234	"159,661"
00190	K00235	"205,661"
00190	K00241	"68,684"
00190	K00242	"113,684"
00190	K00239	"159,684"
00190	K00240	"205,684"
00190	K00244	"159,701"
00190	K00245	"205,701"
00190	K00246	"251,701"
00190	K00247	"297,701"
00190	K00420	"803,679"
00190	K00419	"757,679"
00190	K00418	"711,679"
00190	K00417	"665,679"
00190	K00416	"619,679"
00190	K00415	"573,679"
00190	K00414	"527,679"
00190	K00410	"481,662"
00190	K00413	"481,662"
00190	K03888	"481,662"
00190	K03889	"481,662"
00190	K00410	"435,662"
00190	K00412	"435,662"
00190	K03887	"435,662"
00190	K03891	"435,662"
00190	K00411	"389,662"
00190	K03886	"389,662"
00190	K03890	"389,662"
00190	K00426	"665,804"
00190	K00425	"619,804"
00190	K00406	"527,804"
00190	K00407	"481,804"
00190	K00405	"435,804"
00190	K15862	"435,804"
00190	K00404	"389,804"
00190	K15862	"389,804"
00190	K02267	"481,746"
00190	K02266	"435,746"
00190	K02265	"389,746"
00190	K02264	"343,746"
00190	K02261	"251,746"
00190	K02298	"205,769"
00190	K02299	"159,769"
00190	K02301	"68,769"
00190	K02297	"251,769"
00190	K02256	"205,746"
00190	K02262	"159,746"
00190	K02300	"113,769"
00190	K02257	"68,746"
00190	K02142	"1023,630"
00190	K02112	"931,514"
00190	K02111	"885,514"
00190	K02115	"977,514"
00190	K02113	"1023,514"
00190	K02114	"1069,514"
00190	K02110	"977,531"
00190	K02108	"885,531"
00190	K02109	"931,531"
00190	K02133	"931,596"
00190	K02132	"885,596"
00190	K02136	"977,596"
00190	K02137	"885,613"
00190	K02134	"1023,596"
00190	K02135	"1069,596"
00190	K02128	"1023,613"
00190	K02126	"931,613"
00190	K02127	"977,613"
00190	K02129	"1115,613"
00190	K01549	"1115,613"
00190	K02131	"977,630"
00190	K02141	"977,630"
00190	K02130	"885,630"
00190	K02139	"885,630"
00190	K02125	"1115,630"
00190	K02138	"1069,613"
00190	K02143	"1069,630"
00190	K02140	"931,630"
00190	K02117	"885,695"
00190	K02118	"931,695"
00190	K02119	"977,695"
00190	K02120	"1023,695"
00190	K02121	"1069,695"
00190	K02122	"1115,695"
00190	K02123	"885,712"
00190	K02124	"931,712"
00190	K02145	"885,788"
00190	K02147	"931,788"
00190	K02148	"977,788"
00190	K02149	"1023,788"
00190	K02150	"1069,788"
00190	K02151	"1115,788"
00190	K02152	"1161,788"
00190	K02144	"1207,788"
00190	K02154	"885,805"
00190	K02146	"977,805"
00190	K02153	"1023,805"
00190	K03662	"1069,805"
00190	K02155	"931,805"
00190	K03661	"931,805"
00190	K11351	"527,605"
00190	K11352	"619,581"
00190	K11353	"665,581"
00190	K00234	"411,349"
00190	K00235	"411,349"
00190	K00236	"411,349"
00190	K00237	"411,349"
00190	K00239	"411,349"
00190	K00240	"411,349"
00190	K00241	"411,349"
00190	K00242	"411,349"
00190	K02107	"1161,695"
